index,fret_cell_Ed_averages,fret_cell_Ed_variance
1,0.0019142536912113428,0.00028984580421820283
2,6.4399573602713645e-06,6.753473371645669e-07
3,0.003837190568447113,0.0006622073706239462
4,0.020239414647221565,0.004509289283305407
5,0.00029818006441928446,3.5165056033292785e-05
6,0.0007341532618738711,0.0001072064260370098
7,0.026200823485851288,0.006232616491615772
8,0.02081642486155033,0.005186021793633699
9,0.0011940891854465008,0.00018156458099838346
10,0.00084439676720649,0.00018011291103903204
11,0.00012164151121396571,1.4843181816104334e-05
12,0.0005870036548003554,7.9572360846214e-05
13,0.00011587806511670351,1.6096750186989084e-05
14,0.006063480861485004,0.0010276013053953648
